"job_family","role","role_level","role_description_intro","skills_they_need","skill_name","skill_description","skill_level","skill_level_description"
"Technical job","Software developer","Apprentice developer","A software developer designs, runs and improves software that meets user needs.","An apprentice developer attends certified training and develops skills on the job.

In this role, you will:
- spend a substantial portion of time shadowing others
- work with other developers to write code and tests
- build your own knowledge
- follow a test-driven approach
- write code that is automatically tested","Availability and capacity management","You can define, analyse, plan, forecast, measure, maintain and improve all aspects of the availability of services, including power. You control and manage service availability to meet the needs of the business in a cost-effective manner. This includes managing the capability, functionality and sustainability of service components (for example, hardware, software, network resources and software/infrastructure as a service).","awareness","You can describe availability and capacity management processes."
"Technical job","Software developer","Apprentice developer","A software developer designs, runs and improves software that meets user needs.","An apprentice developer attends certified training and develops skills on the job.

In this role, you will:
- spend a substantial portion of time shadowing others
- work with other developers to write code and tests
- build your own knowledge
- follow a test-driven approach
- write code that is automatically tested","Information security","You maintain the security, confidentiality and integrity of information systems through compliance with relevant legislation and regulations. You design, implement and operate controls and management strategies to allow this.","awareness","You are aware of information security and the security controls that can be used to mitigate security threats within solutions and services."
"Technical job","Software developer","Apprentice developer","A software developer designs, runs and improves software that meets user needs.","An apprentice developer attends certified training and develops skills on the job.

In this role, you will:
- spend a substantial portion of time shadowing others
- work with other developers to write code and tests
- build your own knowledge
- follow a test-driven approach
- write code that is automatically tested","Modern standards approach","You use a modern standards approach throughout automation and testing.","awareness","You can explain the importance of adopting a modern standards approach."
"Technical job","Software developer","Apprentice developer","A software developer designs, runs and improves software that meets user needs.","An apprentice developer attends certified training and develops skills on the job.

In this role, you will:
- spend a substantial portion of time shadowing others
- work with other developers to write code and tests
- build your own knowledge
- follow a test-driven approach
- write code that is automatically tested","Programming and build (software engineering)","You can use agreed security standards and specifications to design, create, test and document new or amended software.","working","You can design, code, test, correct and document simple programs or scripts under the direction of others."
"Technical job","Software developer","Apprentice developer","A software developer designs, runs and improves software that meets user needs.","An apprentice developer attends certified training and develops skills on the job.

In this role, you will:
- spend a substantial portion of time shadowing others
- work with other developers to write code and tests
- build your own knowledge
- follow a test-driven approach
- write code that is automatically tested","Prototyping","You can apply technical knowledge and experience to create or design workable prototypes, both programs and physical outputs. You understand parameters, restrictions and synergies.","awareness","You can explain what prototyping is and why and when to use it. You have an understanding of how to work in an open and collaborative environment- for example, by pair-working."
"Technical job","Software developer","Apprentice developer","A software developer designs, runs and improves software that meets user needs.","An apprentice developer attends certified training and develops skills on the job.

In this role, you will:
- spend a substantial portion of time shadowing others
- work with other developers to write code and tests
- build your own knowledge
- follow a test-driven approach
- write code that is automatically tested","Service support","You can maintain and support services.","awareness","You can assist in the investigation and resolution of infrastructure problems, undertaking specific activities under the direction of others."
"Technical job","Software developer","Apprentice developer","A software developer designs, runs and improves software that meets user needs.","An apprentice developer attends certified training and develops skills on the job.

In this role, you will:
- spend a substantial portion of time shadowing others
- work with other developers to write code and tests
- build your own knowledge
- follow a test-driven approach
- write code that is automatically tested","User focus","You understand users and can identify who they are and what their needs are, based on evidence. You can translate user stories and propose design approaches or services to meet these needs and engage in meaningful interactions and relationships with users. You put users first. You can manage competing priorities.","awareness","You know about user experience analysis and its principles. You can explain the purpose of user stories and focus on user needs."
"Technical job","Software developer","Junior developer","A software developer designs, runs and improves software that meets user needs.","A junior developer learns on the job by delivering software components.

At this level, you will:
- develop skills while working under supervision to deliver stories in a multidisciplinary team
- understand and be proficient in different types of testing
- be aware of but not responsible for security
- coach and mentor more junior colleagues","Availability and capacity management","You can define, analyse, plan, forecast, measure, maintain and improve all aspects of the availability of services, including power. You control and manage service availability to meet the needs of the business in a cost-effective manner. This includes managing the capability, functionality and sustainability of service components (for example, hardware, software, network resources and software/infrastructure as a service).","awareness","You know about availability and capacity management processes."
"Technical job","Software developer","Junior developer","A software developer designs, runs and improves software that meets user needs.","A junior developer learns on the job by delivering software components.

At this level, you will:
- develop skills while working under supervision to deliver stories in a multidisciplinary team
- understand and be proficient in different types of testing
- be aware of but not responsible for security
- coach and mentor more junior colleagues","Information security","You maintain the security, confidentiality and integrity of information systems through compliance with relevant legislation and regulations. You design, implement and operate controls and management strategies to allow this.","working","You understand information security and the types of security controls that can be used to mitigate security threats within solutions and services."
"Technical job","Software developer","Junior developer","A software developer designs, runs and improves software that meets user needs.","A junior developer learns on the job by delivering software components.

At this level, you will:
- develop skills while working under supervision to deliver stories in a multidisciplinary team
- understand and be proficient in different types of testing
- be aware of but not responsible for security
- coach and mentor more junior colleagues","Modern standards approach","You use a modern standards approach throughout automation and testing.","working","You understand the central principles of modern standards approach and how they apply to the work you are undertaking. You will be able to apply them under guidance."
